name	FD_D1	FD_D2	FD_D3	FD_D4	FD_D5	FD_D6	FD_D7	FD_D8	FD_PG2	FD_PG3	FD_PG5	FD_PG6	FD_PG7	FD_PG8
M739T334_pos	0.099053746	0.088875691	0.059658764	0.06243435	0.117026927	0.356594423	0.073370738	0.072914579	0.075806945	0.105276882	0.097576909	0.075481767	0.105779392	0.123883582
M524T642_pos	11.38608684	5.48779922	16.80859082	16.8303516	21.57526228	11.21356595	32.23940478	19.35172762	1.647838792	2.079516048	9.794423431	1.401701091	21.30386541	1.010927804
M686T718_pos	0.011775944	1.827046112	0.228582062	0.070045957	0.365224599	0.355266748	0.309054384	0.224975665	0.009777617	0.061788016	0.120713227	0.145453654	0.149706198	0.269565181
M590T628_pos	0.555821556	0.618487973	0.281529924	0.301818711	0.552644751	0.297070938	0.469038896	0.355964935	0.307227787	0.336542707	0.429308875	0.510349347	0.548455153	0.921896179
M747T349_pos	0.085335663	0.173364559	0.104886759	0.05557014	0.033579792	0.116555069	0.071673855	0.05333627	0.025304226	0.044754711	0.058268662	0.030035875	0.123238586	0.00421351
M405T421_pos	0.315519668	0.541297769	0.175432196	0.174537268	0.252059296	0.220367589	0.13120877	0.195922119	0.498981015	0.744645678	0.645703697	0.704759154	0.223532152	0.894808448
M417T682_pos	3.489254547	2.872891477	2.763143164	3.696527417	2.405594634	2.205431744	2.61629053	0.868096841	3.10297499	4.071766275	3.650418328	5.207071497	3.105523758	5.461149675
M989T340_pos	0.063008197	0.092470427	0.032750809	0.047305962	0.029837271	0.060054153	0.045572855	0.040698787	0.012067314	0.02494992	0.042652518	0.009547503	0.071871161	0.002046123
M729T236_pos	0.060223902	0.019344018	0.135338724	0.091469888	0.063365453	0.182573397	0.073226849	0.089514356	0.125559203	0.139772043	0.105931212	0.115698518	0.046907552	0.141386456
M237T289_pos	0.178421556	0.184287233	0.070254687	0.197308315	0.184959364	0.056011501	0.160846632	0.15088914	0.154836051	0.169493598	0.094172256	0.089117751	0.256174884	0.111224589
M851T318_pos	1.820148721	1.704178117	1.858371295	3.271099707	2.470116051	2.65385594	3.59517219	2.88894981	0.390546301	0.621308388	2.043087056	0.280199404	1.317055675	0.404842606
M673T631_pos	0.10598547	0.030342617	0.032908115	0.034843576	0.026996471	0.076896582	0.053724433	0.046569715	0.035163154	0.058484273	0.025556594	0.03932749	0.062366527	0.04291258
M353T230_pos	0.796817395	0.628364901	0.854505248	0.769430121	0.63667053	0.760329181	0.766263454	0.863908608	0.404412972	0.673109819	0.659780375	0.506706534	0.5321524	0.366499195
M453T267_pos	1.137828813	2.82920021	1.404197914	1.000830737	1.414027186	1.220847451	1.434497983	1.361146036	0.944085601	0.974206833	0.956094786	3.210822132	1.105804662	3.185692841
M753T42_pos	0.050273494	0.014519691	0.01779684	0.016767645	0.046786276	0.023953679	0.048027073	0.054787215	0.052807266	0.05770078	0.038422883	0.037181896	0.02712508	0.072144466
M797T50_pos	0.030441701	0.053981776	0.085354824	0.03764077	0.017721674	0.053343403	0.056024773	0.081185474	0.03332344	0.043862143	0.146132753	0.00341105	0.115791131	0.025773162
M99T54_pos	0.022266959	0.032294734	0.010954674	0.000867657	0.005284483	0.006080248	0.006873038	0.013100214	0.02628667	0.033492651	0.012559742	0.005318678	0.007477118	0.012952335
M252T485_pos	0.10632797	0.058942944	0.128232132	0.192288791	0.208699574	0.072984513	0.152819333	0.136340469	0.086927525	0.019767293	0.071866032	0.035615994	0.190060598	0.026188979
M775T252_pos	0.09517401	0.07359152	0.048761873	0.072214862	0.046168004	0.073236236	0.050744015	0.087276093	0.080723967	0.083462022	0.05522873	0.08182719	0.075427092	0.058300071
M282T52_pos	0.624888152	1.165335805	0.820935939	0.673466861	0.629315167	0.579261349	0.493951924	0.618122339	0.325816988	0.581854402	0.964137478	0.376998512	0.940734391	0.653590848
M743T252_pos	0.146397417	0.090273987	0.070534357	0.052993919	0.058046674	0.083040738	0.136150951	0.057198243	0.089829187	0.089102323	0.042962839	0.036400814	0.097628882	0.077449746
M492T246_pos	0.427386177	0.313052518	0.224549624	0.308265709	0.26447948	0.450799224	0.273878156	0.343684318	0.203660741	0.196185896	0.402640866	0.424754677	0.390768041	0.417104412
M703T743_pos	0.277865386	1.520414449	0.314910311	0.448154264	0.545317336	0.463838478	1.004387835	0.53019104	0.28636557	0.618279176	0.797499266	0.40620006	0.810876054	0.423738843
M284T311_pos	0.020592831	0.031978482	0.013376286	0.074938032	0.036997715	0.013320989	0.069268675	0.000982504	0.022976776	0.053228314	0.03428622	0.021093991	0.021037975	1.253244628
M423T778_pos	0.543989257	1.620875207	0.780150261	0.469711165	0.511237614	0.595207179	0.642549291	0.571493869	0.531891632	0.536861622	0.523587623	0.405002683	0.482289974	0.595090368
