name	FD_C1	FD_C2	FD_C3	FD_C4	FD_C5	FD_C7	FD_C8	FD_D1	FD_D2	FD_D3	FD_D4	FD_D5	FD_D6	FD_D7	FD_D8	FD_PG2	FD_PG3	FD_PG5	FD_PG6	FD_PG7	FD_PG8
M866T438_1_pos	0.066669504	0.061467814	0.053346633	0.053106306	0.056249916	0.064142158	0.071346521	0.048949035	0.16063061	0.076676515	0.05241891	0.04538085	0.035396358	0.044807489	0.046646746	0.045615407	0.037482593	0.058411702	0.021275322	0.038736139	0.02182791
M471T298_pos	0.068307098	0.139529314	0.251734103	0.109777763	0.077550343	0.084487178	0.083901547	0.149297923	0.081042241	0.192098899	0.116410264	0.27111779	0.262312725	0.123630857	0.290431731	0.21301641	0.245332672	0.160579881	0.17158498	0.239058832	0.219457453
M903T279_pos	0.032654363	0.070299891	0.0438639	0.033513816	0.012361087	0.021626316	0.035809362	0.060641364	0.046635207	0.069052764	0.0361111	0.044375155	0.075052944	0.058250969	0.057912874	0.047430785	0.09757643	0.064328408	0.085451031	0.092532342	0.107964111
M609T538_pos	0.010769414	0.107199921	0.026568138	0.030512967	0.000769797	0.000814884	0	0.142340145	0.026816223	0.201525088	0.124679592	0.319815623	0.443891639	0.451127678	0.357000385	0.042704384	0.149454981	0.113029833	0.126336034	0.372789027	0.131125575
M240T233_pos	0.132371128	0.158538293	0.133080336	0.116750794	0.12225246	0.104086457	0.13015305	0.253939332	0.205686473	0.178274129	0.22607028	0.273870695	0.25889983	0.200429026	0.242059924	0.168751938	0.142143997	0.250071228	0.223723527	0.278767907	0.169715902
M364T721_pos	0.979688652	0.497948013	0.459767256	0.456374358	0.472398865	0.448471317	0.479107019	0.425940984	1.264888517	0.595755161	0.446066375	0.402825451	0.38308397	0.381933323	0.442838368	0.401021952	0.426819721	0.417441647	0.266494614	0.397218179	0.447515302
M499T277_pos	0.079417289	0.085253841	0.064713883	0.105779582	0.089494023	0.10862238	0.052520171	0.150092603	0.095465376	0.087446594	0.124104552	0.129376223	0.125985849	0.144119352	0.120980427	0.140378179	0.178523116	0.090175943	0.157517607	0.181071377	0.141517192
M473T493_pos	5.766170804	3.014433469	3.130965177	2.938214716	3.045906304	3.242211908	3.008866286	3.445018059	7.239533529	4.262706411	3.405803361	3.340420699	4.123376275	3.378152026	3.484409978	4.138716393	3.366882318	3.229541099	3.219503372	3.227159421	3.317455514
M888T526_pos	0.078288143	0.102326801	0.058760078	0.066653359	0.112695542	0.116361843	0.115397182	0.038386433	0.002655396	0	0.029711901	0.010299083	0	0.001005916	0	0.010154995	0.006557112	0	0.017801001	0.003324659	0.019069936
M109T417_pos	0.446566793	0.225469664	0.218686025	0.210073179	0.203499839	0.220136656	0.225537538	0.191405273	0.59532012	0.31773855	0.196923129	0.181798622	0.183110053	0.195155837	0.185644282	0.190453282	0.192370294	0.188773249	0.15874076	0.189268374	0.222796455
M524T409_pos	0.071492054	0.064340804	0.073091951	0.078650602	0.099560948	0.08732443	0.152194154	0.182910148	0.170114483	0.245783904	0.215456098	0.234938965	0.306826121	0.28347818	0.320535048	0.085307583	0.202862956	0.370741153	0.174151151	0.4621673	0.181886279
M684T243_pos	0.162546949	0.14428283	0.162247156	0.155721392	0.094326254	0.143769939	0.167622868	0.464764105	0.351824383	0.478624504	0.489870263	0.570279245	0.763832866	0.533913736	0.617722393	0.219259783	0.266337253	0.59255045	0.437315544	0.640834658	0.388240381
M197T45_pos	0.905595315	0.715513429	0.782118526	0.97273158	0.48551647	0.582181945	0.58889556	0.430834125	1.071570329	0.430098714	0.468136007	0.172644168	0.439893574	0.422368036	0.271944893	0.177387172	0.203181443	0.169762493	0.234349798	0.221464041	0.324626895
M296T715_pos	0.331211642	0.147665051	0.132231025	0.141707211	0.145191028	0.139187038	0.149531464	0.143392393	0.412250396	0.19478344	0.132623585	0.134959799	0.142010641	0.111161331	0.134019458	0.133962769	0.134129856	0.117370795	0.104849091	0.126296909	0.116979701
M326T607_pos	1.176247536	0.586429952	0.57751312	0.564478245	0.53570616	0.558654089	0.549267495	0.548650419	1.5170198	0.758225781	0.531668602	0.535296574	0.52399295	0.561526689	0.516980367	0.520554357	0.479586074	0.488464056	0.40805497	0.49871669	0.466674007
M242T445_pos	0.56204306	0.237043135	0.221281191	0.337495216	0.217820728	0.209747444	0.206346013	0.320539405	0.645122945	0.515964487	0.292663014	0.267921781	0.202224695	0.199260302	0.187272722	0.18547559	0.170155554	0.163046509	0.130405725	0.166775631	0.15479948
M610T49_pos	0.116095588	0.131851736	0.102115352	0.09258036	0.188442967	0.134609212	0.109876315	0.184961665	0.38349372	0.186346118	0.094879343	0.170907447	0.167995765	0.143567333	0.197144092	0.279924433	0.22103506	0.218751429	0.161906266	0.254425494	0.25121843
M221T582_pos	0.157148912	0.098631524	0.089180533	0.083341975	0.080834271	0.08921358	0.08772058	0.084592434	0.218215399	0.109570273	0.084853186	0.094311853	0.080063661	0.088717737	0.095340653	0.09488784	0.102623149	0.096370885	0.082216655	0.102105129	0.089087531
M772T49_pos	0.010786182	0.037658967	0.017747609	0.034978179	0.069143583	0.03146372	0.044181471	0.037789875	0.073375831	0.067161871	0.029827173	0.049925828	0.071864458	0.039835318	0.064290168	0.103487567	0.075463459	0.11046505	0.038813802	0.09136892	0.096158545
M892T275_pos	0.02924485	0.011534301	0.004153153	0.015298452	0.012181848	0.011129911	0.023961954	0.025523521	0.035176276	0.109270262	0.031700675	0.025582106	0.064225284	0.056317229	0.091032055	0.075562582	0.066615006	0.093897589	0.105195823	0.060326012	0.177248501
M342T314_pos	0.124141512	0.067050937	0.193912899	0.008997034	0.018718712	0.006933416	0.013492156	0.159328286	0.139302864	0.202025709	0.225254508	0.198152052	0.163054658	0.145714667	0.173721324	0.155798673	0.180445878	0.269842627	0.188785249	0.261400863	0.229073151
M356T577_pos	2.168243832	1.03171241	1.066623752	1.093455847	1.043402677	1.02545465	1.028281575	1.077374057	2.885596871	1.480740253	1.025648628	0.997129116	1.03415263	1.033196402	1.008689197	0.948240672	0.937133181	0.946648992	0.810637258	0.940859267	0.964938387
M397T773_pos	1.118539551	0.519684089	0.556204527	0.55241449	0.462447374	0.488538858	0.470646087	0.562261556	1.545540699	0.767169336	0.514975274	0.499070698	0.428769255	0.546978488	0.485381753	0.399136865	0.435075627	0.475557501	0.3673932	0.492517583	0.457644016
M423T96_pos	0.01444816	0.030257193	0.036403495	0.015859422	0.02829327	0.030125274	0.028170223	0.391012467	0.533707677	0.302289867	0.487110636	0.399699871	0.224808911	0.227259569	0.225562805	0.529096923	0.563189034	0.737217095	0.613176093	0.788546062	0.511083999
